date,signals_json,fills_json,eod_portfolio_value,pnl_day,pnl_cum,cash,positions_json
2026-04-22,"{""BTC/USDT"":0.2514343159496091}","[{""ticker"":""BTC/USDT"",""qty_delta"":0.32161679274346466,""price"":78178.23,""cost_usd"":12.571715797480456,""notes"":""target_w=0.2514""}]",99987.43,-12.57,-12.57,74844.0,"{""BTC/USDT"":{""qty"":0.32161679274346466,""avg_cost"":78178.23}}"
2026-04-22,2026-04-22T21:00:00,daily,"{""BTC/USDT"":0.2514343159496091}",[],99987.43,0.0,-12.57,74844.0,"{""BTC/USDT"":{""qty"":0.32161679274346466,""avg_cost"":78178.23}}"
2026-05-01,2026-05-01T09:30:00,daily,"{""BTC/USDT"":0.2512951203431256}","[{""ticker"":""BTC/USDT"",""qty_delta"":0.0015391148385596187,""price"":77611.23,""cost_usd"":0.05972629786593171,""notes"":""target_w=0.2513""}]",99805.01,-182.42,-194.99,74724.48,"{""BTC/USDT"":{""qty"":0.3231559075820243,""avg_cost"":78175.52951366201}}"
2026-04-27,2026-04-27T21:00:00,daily,"{""BTC/USDT"":0.2703811291949471}","[{""ticker"":""BTC/USDT"",""qty_delta"":0.02704369459995304,""price"":76872.98,""cost_usd"":1.039464697054149,""notes"":""target_w=0.2704""}]",99565.4,-239.61,-434.6,72644.52,"{""BTC/USDT"":{""qty"":0.3501996021819773,""avg_cost"":78074.94187441481}}"
2026-04-28,2026-04-28T21:00:00,daily,"{""BTC/USDT"":0.27357943246994076}","[{""ticker"":""BTC/USDT"",""qty_delta"":0.005808460686203443,""price"":76379.69,""cost_usd"":0.22182421329470314,""notes"":""target_w=0.2736""}]",99392.43,-172.97,-607.57,72200.65,"{""BTC/USDT"":{""qty"":0.35600806286818076,""avg_cost"":78047.28293942772}}"
2026-04-29,2026-04-29T21:00:00,daily,"{""BTC/USDT"":0.2737278446881486}","[{""ticker"":""BTC/USDT"",""qty_delta"":0.0029001451692971525,""price"":75588.66,""cost_usd"":0.10960904357632245,""notes"":""target_w=0.2737""}]",99110.71,-281.72,-889.29,71981.32,"{""BTC/USDT"":{""qty"":0.3589082080374779,""avg_cost"":78027.41612311863}}"
2026-04-30,2026-04-30T21:00:00,daily,"{""BTC/USDT"":0.13783163052235664,""DOGE/USDT"":0.11258235725670594}","[{""ticker"":""BTC/USDT"",""qty_delta"":-0.1796030499016537,""price"":76413.96,""cost_usd"":6.862090135531486,""notes"":""target_w=0.1378""},{""ticker"":""DOGE/USDT"",""qty_delta"":105659.59988575676,""price"":0.10592,""cost_usd"":5.595732409949679,""notes"":""target_w=0.1126""}]",99394.46,283.75,-605.54,74501.58,"{""BTC/USDT"":{""qty"":0.1793051581358242,""avg_cost"":78027.41612311863},""DOGE/USDT"":{""qty"":105659.59988575676,""avg_cost"":0.10592}}"
2026-05-01,2026-05-01T21:00:00,daily,"{""BTC/USDT"":0.1409523719279193,""DOGE/USDT"":0.11203749323638441}","[{""ticker"":""BTC/USDT"",""qty_delta"":0.0006737612578262553,""price"":78386.01,""cost_usd"":0.02640672834679071,""notes"":""target_w=0.1410""},{""ticker"":""DOGE/USDT"",""qty_delta"":-2922.46425580066,""price"":0.10915,""cost_usd"":0.15949348676032102,""notes"":""target_w=0.1120""}]",100089.15,694.69,89.15,74767.56,"{""BTC/USDT"":{""qty"":0.17997891939365046,""avg_cost"":78028.7585395658},""DOGE/USDT"":{""qty"":102737.1356299561,""avg_cost"":0.10592}}"
2026-05-02,2026-05-02T21:00:00,daily,"{""BTC/USDT"":0.14140151736531706,""DOGE/USDT"":0.11443950983351511}","[{""ticker"":""BTC/USDT"",""qty_delta"":0.0003594343328271743,""price"":78434.15,""cost_usd"":0.014095963188058254,""notes"":""target_w=0.1414""},{""ticker"":""DOGE/USDT"",""qty_delta"":2761.161781686009,""price"":0.10851,""cost_usd"":0.1498068324653744,""notes"":""target_w=0.1144""}]",100031.9,-57.25,31.9,74439.59,"{""BTC/USDT"":{""qty"":0.18033835372647763,""avg_cost"":78029.5665296916},""DOGE/USDT"":{""qty"":105498.29741164211,""avg_cost"":0.1059877869614015}}"
2026-05-03,2026-05-03T21:00:00,daily,"{""BTC/USDT"":0.15140975223360922,""DOGE/USDT"":0.12876340907667289}","[{""ticker"":""BTC/USDT"",""qty_delta"":0.012075622148742554,""price"":78778.49,""cost_usd"":0.475649639344247,""notes"":""target_w=0.1514""},{""ticker"":""DOGE/USDT"",""qty_delta"":13104.052654107698,""price"":0.10869,""cost_usd"":0.7121397414874829,""notes"":""target_w=0.1288""}]",100111.8,79.9,111.8,72062.83,"{""BTC/USDT"":{""qty"":0.1924139758752202,""avg_cost"":78076.56788083895},""DOGE/USDT"":{""qty"":118602.35006574981,""avg_cost"":0.10628634716632814}}"
2026-05-04,2026-05-04T21:00:00,daily,"{""BTC/USDT"":0.15261384253754662,""DOGE/USDT"":0.13451797788706557}","[{""ticker"":""BTC/USDT"",""qty_delta"":-0.0007037447149194354,""price"":80035.32,""cost_usd"":0.028162216728442893,""notes"":""target_w=0.1526""},{""ticker"":""DOGE/USDT"",""qty_delta"":4066.6376518536563,""price"":0.11025,""cost_usd"":0.2241734005584328,""notes"":""target_w=0.1345""}]",100538.4,426.6,538.4,71670.55,"{""BTC/USDT"":{""qty"":0.19171023116030075,""avg_cost"":78076.56788083895},""DOGE/USDT"":{""qty"":122668.98771760346,""avg_cost"":0.10641774745055803}}"
